name,population,land_area
China,"1,433,783,686","9,388,211"
India,"1,366,417,754","2,973,190"
United States,"329,064,917","9,147,420"
Indonesia,"270,625,568","1,811,570"
Pakistan,"216,565,318","770,880"
Brazil,"211,049,527","8,358,140"
Nigeria,"200,963,599","910,770"
Bangladesh,"163,046,161","130,170"
Russia,"145,872,256","16,376,870"
Mexico,"127,575,529","1,943,950"
Japan,"126,860,301","364,555"
Ethiopia,"112,078,730","1,000,000"
Philippines,"108,116,615","298,170"
Egypt,"100,388,073","995,450"
Vietnam,"96,462,106","310,070"
DR Congo,"86,790,567","2,267,050"
Germany,"83,517,045","348,560"
Turkey,"83,429,615","769,630"
Iran,"82,913,906","1,628,550"
Thailand,"69,625,582","510,890"
United Kingdom,"67,530,172","241,930"
France,"65,129,728","547,557"
Italy,"60,550,075","294,140"
South Africa,"58,558,270","1,213,090"
Tanzania,"58,005,463","885,800"
Myanmar,"54,045,420","653,290"
Kenya,"52,573,973","569,140"
South Korea,"51,225,308","97,230"
Colombia,"50,339,443","1,109,500"
Spain,"46,736,776","498,800"
Argentina,"44,780,677","2,736,690"
Uganda,"44,269,594","199,810"
Ukraine,"43,993,638","579,320"
Algeria,"43,053,054","2,381,740"
Sudan,"42,813,238","1,765,048"
Iraq,"39,309,783","434,320"
Afghanistan,"38,041,754","652,860"
Poland,"37,887,768","306,230"
Canada,"37,411,047","9,093,510"
Morocco,"36,471,769","446,300"
Saudi Arabia,"34,268,528","2,149,690"
Uzbekistan,"32,981,716","425,400"
Peru,"32,510,453","1,280,000"
Malaysia,"31,949,777","328,550"
Angola,"31,825,295","1,246,700"
Ghana,"30,417,856","227,540"
Mozambique,"30,366,036","786,380"
Yemen,"29,161,922","527,970"
Nepal,"28,608,710","143,350"
Venezuela,"28,515,829","882,050"
Madagascar,"26,969,307","581,795"
Cameroon,"25,876,380","472,710"
C̫te d'Ivoire,"25,716,544","318,000"
North Korea,"25,666,161","120,410"
Australia,"25,203,198","7,682,300"
Niger,"23,310,715","1,266,700"
Sri Lanka,"21,323,733","62,710"
Burkina Faso,"20,321,378","273,600"
Mali,"19,658,031","1,220,190"
Romania,"19,364,557","230,170"
Chile,"18,952,038","743,532"
Malawi,"18,628,747","94,280"
Kazakhstan,"18,551,427","2,699,700"
Zambia,"17,861,030","743,390"
Guatemala,"17,581,472","107,160"
Ecuador,"17,373,662","248,360"
Netherlands,"17,097,130","33,720"
Syria,"17,070,135","183,630"
Cambodia,"16,486,542","176,520"
Senegal,"16,296,364","192,530"
Chad,"15,946,876","1,259,200"
Somalia,"15,442,905","627,340"
Zimbabwe,"14,645,468","386,850"
Guinea,"12,771,246","245,720"
Rwanda,"12,626,950","24,670"
Benin,"11,801,151","112,760"
Tunisia,"11,694,719","155,360"
Belgium,"11,539,328","30,280"
Burundi,"11,530,580","25,680"
Bolivia,"11,513,100","1,083,300"
Cuba,"11,333,483","106,440"
Haiti,"11,263,077","27,560"
South Sudan,"11,062,113","610,952"
Dominican Republic,"10,738,958","48,320"
Czech Republic (Czechia),"10,689,209","77,240"
Greece,"10,473,455","128,900"
Portugal,"10,226,187","91,590"
Jordan,"10,101,694","88,780"
Azerbaijan,"10,047,718","82,658"
Sweden,"10,036,379","410,340"
United Arab Emirates,"9,770,529","83,600"
Honduras,"9,746,117","111,890"
Hungary,"9,684,679","90,530"
Belarus,"9,452,411","202,910"
Tajikistan,"9,321,018","139,960"
Austria,"8,955,102","82,409"
Papua New Guinea,"8,776,109","452,860"
Serbia,"8,772,235","87,460"
Switzerland,"8,591,365","39,516"
Israel,"8,519,377","21,640"
Togo,"8,082,366","54,390"
Sierra Leone,"7,813,215","72,180"
Laos,"7,169,455","230,800"
Paraguay,"7,044,636","397,300"
Bulgaria,"7,000,119","108,560"
Lebanon,"6,855,713","10,230"
Libya,"6,777,452","1,759,540"
Nicaragua,"6,545,502","120,340"
El Salvador,"6,453,553","20,720"
Kyrgyzstan,"6,415,850","191,800"
Turkmenistan,"5,942,089","469,930"
Singapore,"5,804,337",700
Denmark,"5,771,876","42,430"
Finland,"5,532,156","303,890"
Slovakia,"5,457,013","48,088"
Congo,"5,380,508","341,500"
Norway,"5,378,857","365,268"
Costa Rica,"5,047,561","51,060"
State of Palestine,"4,981,420","6,020"
Oman,"4,974,986","309,500"
Liberia,"4,937,374","96,320"
Ireland,"4,882,495","68,890"
New Zealand,"4,783,063","263,310"
Central African Republic,"4,745,185","622,980"
Mauritania,"4,525,696","1,030,700"
Panama,"4,246,439","74,340"
Kuwait,"4,207,083","17,820"
Croatia,"4,130,304","55,960"
Moldova,"4,043,263","32,850"
Georgia,"3,996,765","69,490"
Eritrea,"3,497,117","101,000"
Uruguay,"3,461,734","175,020"
Bosnia and Herzegovina,"3,301,000","51,000"
Mongolia,"3,225,167","1,553,560"
Armenia,"2,957,731","28,470"
Jamaica,"2,948,279","10,830"
Albania,"2,880,917","27,400"
Qatar,"2,832,067","11,610"
Lithuania,"2,759,627","62,674"
Namibia,"2,494,530","823,290"
Gambia,"2,347,706","10,120"
Botswana,"2,303,697","566,730"
Gabon,"2,172,579","257,670"
Lesotho,"2,125,268","30,360"
North Macedonia,"2,083,459","25,220"
Slovenia,"2,078,654","20,140"
Guinea-Bissau,"1,920,922","28,120"
Latvia,"1,906,743","62,200"
Bahrain,"1,641,172",760
Trinidad and Tobago,"1,394,973","5,130"
Equatorial Guinea,"1,355,986","28,050"
Estonia,"1,325,648","42,390"
Timor-Leste,"1,293,119","14,870"
Mauritius,"1,269,668","2,030"
Cyprus,"1,198,575","9,240"
Eswatini,"1,148,130","17,200"
Djibouti,"973,560","23,180"
Fiji,"889,953","18,270"
Comoros,"850,886","1,861"
Guyana,"782,766","196,850"
Bhutan,"763,092","38,117"
Solomon Islands,"669,823","27,990"
Montenegro,"627,987","13,450"
Luxembourg,"615,729","2,590"
Suriname,"581,372","156,000"
Cabo Verde,"549,935","4,030"
Micronesia,"543,486",700
Maldives,"530,953",300
Malta,"440,372",320
Brunei,"433,285","5,270"
Belize,"390,353","22,810"
Bahamas,"389,482","10,010"
Iceland,"339,031","100,250"
Vanuatu,"299,882","12,190"
Barbados,"287,025",430
Sao Tome & Principe,"215,056",960
Samoa,"197,097","2,830"
Saint Lucia,"182,790",610
Kiribati,"117,606",810
Grenada,"112,003",340
St. Vincent & Grenadines,"110,589",390
Tonga,"104,494",720
Seychelles,"97,739",460
Antigua and Barbuda,"97,118",440
Andorra,"77,142",470
Dominica,"71,808",750
Marshall Islands,"58,791",180
Saint Kitts & Nevis,"52,823",260
Monaco,"38,964",1
Liechtenstein,"38,019",160
San Marino,"33,860",60
Palau,"18,008",460
Tuvalu,"11,646",30
Nauru,"10,756",20
Holy See,799,0